INFO:tensorflow:loss = 0.502487, 24701, 0.875 ,29.736 sec)
INFO:tensorflow:loss = 0.510949, 24801, 0.882812 ,29.264 sec)
INFO:tensorflow:loss = 0.547227, 24901, 0.882812 ,28.807 sec)
INFO:tensorflow:loss = 0.375375, 25001, 0.9375 ,29.193 sec)
INFO:tensorflow:loss = 0.456423, 25101, 0.890625 ,28.786 sec)
INFO:tensorflow:loss = 0.398289, 25201, 0.9375 ,28.955 sec)
INFO:tensorflow:loss = 0.437308, 25301, 0.921875 ,29.314 sec)
INFO:tensorflow:loss = 0.45882, 25401, 0.9375 ,28.889 sec)
INFO:tensorflow:loss = 0.453919, 25501, 0.898438 ,29.158 sec)
INFO:tensorflow:loss = 0.464159, 25601, 0.898438 ,28.880 sec)
INFO:tensorflow:loss = 0.341507, 25701, 0.953125 ,29.044 sec)
INFO:tensorflow:loss = 0.586452, 25801, 0.90625 ,28.870 sec)
INFO:tensorflow:loss = 0.445543, 25901, 0.914062 ,28.878 sec)
INFO:tensorflow:loss = 0.338725, 26001, 0.960938 ,29.482 sec)
INFO:tensorflow:loss = 0.66572, 26101, 0.851562 ,28.911 sec)
INFO:tensorflow:loss = 0.454688, 26201, 0.921875 ,29.520 sec)
INFO:tensorflow:loss = 0.402527, 26301, 0.9375 ,28.884 sec)
INFO:tensorflow:loss = 0.325846, 26401, 0.960938 ,28.965 sec)
INFO:tensorflow:loss = 0.430375, 26501, 0.9375 ,29.207 sec)
INFO:tensorflow:loss = 0.414531, 26601, 0.929688 ,28.960 sec)
INFO:tensorflow:loss = 0.537357, 26701, 0.890625 ,29.350 sec)
INFO:tensorflow:loss = 0.530837, 26801, 0.890625 ,29.538 sec)
INFO:tensorflow:loss = 0.503788, 26901, 0.898438 ,29.386 sec)
INFO:tensorflow:loss = 0.545459, 27001, 0.898438 ,29.017 sec)
INFO:tensorflow:loss = 0.434115, 27101, 0.929688 ,28.828 sec)
INFO:tensorflow:loss = 0.431074, 27201, 0.914062 ,29.205 sec)
INFO:tensorflow:loss = 0.51003, 27301, 0.921875 ,28.942 sec)
INFO:tensorflow:loss = 0.500074, 27401, 0.921875 ,29.329 sec)
INFO:tensorflow:loss = 0.43189, 27501, 0.921875 ,28.978 sec)
